region_Rus;znach;region_Eng
Белгородская область;14,8;Belgorodskaya Oblast
Брянская область;10,2;Bryanskaya Oblast
Владимирская область;7,8;Vladimirskaya Oblast
Воронежская область;26;Voronezhskaya Oblast
Ивановская область;9;Ivanovskaya Oblast
Калужская область;6,2;Kaluzhskaya Oblast
Костромская область;4,7;Kostromskaya Oblast
Курская область;14,3;Kurskaya Oblast
Липецкая область;7,6;Lipetskaya Oblast
Московская область;30,1;Moskovskaya
Орловская область;8,6;Orlovskaya|Or'ol|Oryol|Orlovskaya Oblast
Рязанская область;9,4;Ryazanskaya Oblast|Ryazanskaya Oblast
Смоленская область;7,5;Smolenskaya Oblast
Тамбовская область;9,2;Tambovskaya Oblast
Тверская область;7,8;Kalinin|Kalininskaya|Tverskaya Oblast
Тульская область;10,1;Tul'skaya|Tulskaya Oblast
Ярославская область;9,5;Yaroslavskaya
г. Москва;224,8;Mosca|Moscou|Moscow|Moskau|Moskova
Республика Карелия;3,4;Karelian A.S.S.R.|Karelo-Finnish A.S.S.R.|Karel'skaya A.S.S.R.|Olonets|Olonetskaya G.|Kareliya|Republic of Karelia
Республика Коми;5,2;Komi A.S.S.R.|Republic of Komi|Respublika Komi
Архангельская область;6,1;Arcangelo|Archangel|Archangelsk|Arkhangelskaya Oblast
Вологодская область;7,6;Vologodskaya Oblast
Калининградская область;6,8;Kaliningradskaya Oblast
Ленинградская область;2,2;Leningradskaya Oblast
Мурманская область;4,4;Murmanskaya Oblast
Новгородская область;2,9;Novgorodskaya Oblast
Псковская область;3,8;Pskovskaya Oblast
г. Санкт-Петербург;82,2;Saint Petersburg|Sankt-Peterburgskaya G.
Республика Адыгея;3,7;Adygea|Adygeya|Adygheya|Republic of Adygeya|Adygeyskaya A.Obl.|Respublika Adygeya
Республика Калмыкия;2;Kalmykiya|Khalmg Tangch|Republic of Kalmykia|Kalmytskaya A.S.S.R.|Respublika Kalmykiya
Краснодарский край;40,1;Cossacks of the Black Sea|Kuban|Kubanskaya|Yekaterinodar|Krasnodarskiy Kray
Астраханская область;8,3;Astrachan|Astrakhanskaya Oblast
Волгоградская область;19,1;Stalingrad|Volgogradskaya Oblast
Ростовская область;45;Province of the Don Cossacks|Provinz des Donischen Heeres|Voyska Donskovo|Rostovskaya Oblast
Республика Дагестан;19,5;Dagestanskaya A.S.S.R.|Daghestan|Republic of Dagestan|Respublika Dagestan|Dagistan
Республика Ингушетия ;2,9;Ingouchie|InguchГ©tia|Inguschetien|Ingushetia|Ingushetiya|Ingush Republic|Ingushskaya Respublika|Respublika Ingushetiya
Кабардино-Балкарская Республика;4,7;Kabardin A.S.S.R.|Kabardino-Balkarskaya A.S.S.R.|Kabardino-Balkariya|Kabardino-Balkarsk|Kabard|Kabardino-Balkarskaya Republic
Карачаево-Черкесская Республика;3,2;KaraГ§ay-Г‡erkes|Karachay-Cherkessiya|Karachayevo-Cherkesskaya Respublika|Karachayevo-Cherkessiya|Karachayevo-Cherkess Republic|K
Республика Северная Осетия - Алания;7,1;Kuzey Osetya|Respublika Severnaya Osetiya|Severnaya Osetiya-Alaniya|North Ossetian A.S.S.R.|Republic of North Osetia-Alania
